source	destination	value	model	nSim	nSeq	protocol
Region2	Region1	3.0	simulation	33	150	maxPerRegion_2.5
Region3	Region1	2.0	simulation	33	150	maxPerRegion_2.5
Region1	Region2	8.0	simulation	33	150	maxPerRegion_2.5
Region2	Region2	87.0	simulation	33	150	maxPerRegion_2.5
Region3	Region2	2.0	simulation	33	150	maxPerRegion_2.5
Region1	Region3	3.0	simulation	33	150	maxPerRegion_2.5
Region2	Region3	5.0	simulation	33	150	maxPerRegion_2.5
Region3	Region3	87.0	simulation	33	150	maxPerRegion_2.5
Region1	Region1	50.0	simulation	33	150	uniformS_2.5
Region2	Region1	7.0	simulation	33	150	uniformS_2.5
Region3	Region1	3.0	simulation	33	150	uniformS_2.5
Region1	Region2	11.0	simulation	33	150	uniformS_2.5
Region2	Region2	185.0	simulation	33	150	uniformS_2.5
Region3	Region2	2.0	simulation	33	150	uniformS_2.5
Region1	Region3	2.0	simulation	33	150	uniformS_2.5
Region2	Region3	2.0	simulation	33	150	uniformS_2.5
Region3	Region3	25.0	simulation	33	150	uniformS_2.5
Region1	Region1	69.0	simulation	33	150	biased_2.5
Region2	Region1	6.0	simulation	33	150	biased_2.5
Region3	Region1	3.0	simulation	33	150	biased_2.5
Region1	Region2	13.0	simulation	33	150	biased_2.5
Region2	Region2	181.0	simulation	33	150	biased_2.5
Region3	Region2	0.0	simulation	33	150	biased_2.5
Region1	Region3	1.0	simulation	33	150	biased_2.5
Region2	Region3	2.0	simulation	33	150	biased_2.5
Region3	Region3	17.0	simulation	33	150	biased_2.5
Region1	Region1	31.0	simulation	33	150	uniformS_5
Region2	Region1	4.0	simulation	33	150	uniformS_5
Region3	Region1	1.0	simulation	33	150	uniformS_5
Region1	Region2	11.0	simulation	33	150	uniformS_5
Region2	Region2	218.0	simulation	33	150	uniformS_5
Region3	Region2	2.0	simulation	33	150	uniformS_5
Region1	Region3	1.0	simulation	33	150	uniformS_5
Region2	Region3	2.0	simulation	33	150	uniformS_5
Region3	Region3	15.0	simulation	33	150	uniformS_5
Region1	Region1	111.0	simulation	33	150	maxPerRegionYear_10
Region2	Region1	10.0	simulation	33	150	maxPerRegionYear_10
Region3	Region1	2.0	simulation	33	150	maxPerRegionYear_10
Region1	Region2	22.0	simulation	33	150	maxPerRegionYear_10
Region2	Region2	81.0	simulation	33	150	maxPerRegionYear_10
Region3	Region2	3.0	simulation	33	150	maxPerRegionYear_10
Region1	Region3	3.0	simulation	33	150	maxPerRegionYear_10
Region2	Region3	10.0	simulation	33	150	maxPerRegionYear_10
Region3	Region3	48.0	simulation	33	150	maxPerRegionYear_10
Region1	Region1	49.0	simulation	33	150	biased_5
Region2	Region1	4.0	simulation	33	150	biased_5
Region3	Region1	2.0	simulation	33	150	biased_5
Region1	Region2	13.0	simulation	33	150	biased_5
Region2	Region2	203.0	simulation	33	150	biased_5
