traits	patch	samp.dates	short.names
1_35927_2018.652055	2	2018.652055	1_35927
1_35926_2018.676712	2	2018.676712	1_35926
0_19066_2018.69863	1	2018.69863	0_19066
0_19065_2018.668493	1	2018.668493	0_19065
2_31206_2018.717808	3	2018.717808	2_31206
1_35922_2018.728767	2	2018.728767	1_35922
1_35920_2018.643836	2	2018.643836	1_35920
1_35919_2018.70411	2	2018.70411	1_35919
0_19063_2018.709589	1	2018.709589	0_19063
0_19062_2018.657534	1	2018.657534	0_19062
0_19061_2018.671233	1	2018.671233	0_19061
0_19588_2018.964384	1	2018.964384	0_19588
0_19060_2018.660274	1	2018.660274	0_19060
0_19059_2018.649315	1	2018.649315	0_19059
2_31205_2018.731507	3	2018.731507	2_31205
2_31204_2018.805479	3	2018.805479	2_31204
1_35917_2018.761644	2	2018.761644	1_35917
1_35916_2018.641096	2	2018.641096	1_35916
0_19058_2018.723288	1	2018.723288	0_19058
0_19056_2018.660274	1	2018.660274	0_19056
2_31203_2018.753425	3	2018.753425	2_31203
1_35914_2018.676712	2	2018.676712	1_35914
1_35912_2018.709589	2	2018.709589	1_35912
0_19051_2018.690411	1	2018.690411	0_19051
0_19049_2018.673973	1	2018.673973	0_19049
1_35910_2018.660274	2	2018.660274	1_35910
0_19048_2018.786301	1	2018.786301	0_19048
0_19047_2018.646575	1	2018.646575	0_19047
0_19046_2018.665753	1	2018.665753	0_19046
2_31230_2018.821918	3	2018.821918	2_31230
0_19045_2018.641096	1	2018.641096	0_19045
0_19044_2018.665753	1	2018.665753	0_19044
0_19041_2018.673973	1	2018.673973	0_19041
1_35909_2018.641096	2	2018.641096	1_35909
1_35908_2018.684932	2	2018.684932	1_35908
1_35907_2018.660274	2	2018.660274	1_35907
1_35905_2018.649315	2	2018.649315	1_35905
1_35904_2018.726027	2	2018.726027	1_35904
0_19040_2018.641096	1	2018.641096	0_19040
0_19039_2018.676712	1	2018.676712	0_19039
0_19038_2018.717808	1	2018.717808	0_19038
0_19037_2018.649315	1	2018.649315	0_19037
1_35902_2018.726027	2	2018.726027	1_35902
1_36241_2018.89863	2	2018.89863	1_36241
0_19035_2018.632877	1	2018.632877	0_19035
0_19034_2018.671233	1	2018.671233	0_19034
0_19031_2018.726027	1	2018.726027	0_19031
0_19029_2018.70137	1	2018.70137	0_19029
0_19028_2018.663014	1	2018.663014	0_19028
1_35898_2018.668493	2	2018.668493	1_35898
1_35897_2018.635616	2	2018.635616	1_35897
0_19023_2018.668493	1	2018.668493	0_19023
0_19020_2018.649315	1	2018.649315	0_19020
0_19017_2018.745205	1	2018.745205	0_19017
0_19013_2018.657534	1	2018.657534	0_19013
0_19012_2018.684932	1	2018.684932	0_19012
0_19010_2018.641096	1	2018.641096	0_19010
1_35890_2018.632877	2	2018.632877	1_35890
1_35889_2018.717808	2	2018.717808	1_35889
1_35888_2018.70137	2	2018.70137	1_35888
1_35887_2018.643836	2	2018.643836	1_35887
1_35885_2018.646575	2	2018.646575	1_35885
0_19008_2018.646575	1	2018.646575	0_19008
1_35884_2018.624658	2	2018.624658	1_35884
1_35883_2018.676712	2	2018.676712	1_35883
1_35881_2018.638356	2	2018.638356	1_35881
1_35880_2018.671233	2	2018.671233	1_35880
1_35879_2018.660274	2	2018.660274	1_35879
0_19521_2018.893151	1	2018.893151	0_19521
